investimento_marketing,preco_medicamento,mes,demanda
36842,628,10,199
14261,268,11,81
12173,658,12,263
31449,561,7,205
42080,43,4,66
2637,490,7,223
32781,220,5,50
14652,150,10,6
6103,653,9,296
26500,375,2,133
35800,963,4,408
36529,858,6,328
48963,169,11,49
19452,545,5,213
32174,323,1,92
36436,560,9,178
48406,69,9,93
16954,483,3,189
18186,259,4,93
13356,501,4,217
33963,925,10,375
3187,474,8,201
12707,302,6,103
36098,354,2,92
27935,371,4,143
22225,687,1,300
4606,668,3,340
33828,346,4,74
27489,355,8,97
15387,685,3,311
4927,100,5,26
7296,106,1,36
31444,795,4,303
47390,277,2,40
47893,204,4,8
3591,711,5,339
45895,717,3,237
49516,142,6,62
27147,908,12,383
39889,115,2,37
2200,624,5,288
16721,534,4,229
20238,923,5,416
12087,462,9,200
31816,533,6,178
24408,977,7,432
40740,390,11,77
1136,324,8,147
18413,376,9,136
49114,167,5,30
19978,304,8,76
1661,676,2,336
36240,861,10,329
28253,892,9,361
27884,937,2,408
33854,281,12,34
11704,593,5,258
39987,510,6,174
25527,757,4,302
17322,50,8,38
48517,721,10,236
7968,906,3,438
28518,287,11,57
47364,31,5,103
28886,210,2,55
2700,419,3,203
29246,556,8,196
36468,937,11,379
24199,110,5,1
45589,619,3,212
33115,863,5,375
6520,520,9,222
45278,805,3,316
37455,320,12,37
21929,130,10,3
42605,99,7,64
15955,855,8,368
45049,671,5,238
14917,452,3,184
5757,436,11,156
14045,233,6,70
42680,466,12,115
5733,37,3,6
31954,73,9,59
32135,899,2,383
8081,628,3,318
42458,814,7,310
24501,765,10,317
22113,998,8,431
35441,259,5,32
48086,865,5,316
25690,940,5,409
44939,437,4,114
30345,875,9,350
47313,505,6,135
45571,463,12,99
27829,585,8,200
36062,618,8,214
4630,792,5,390
48861,767,12,263
32870,142,9,22
48221,439,2,120
45942,585,8,169
4453,235,3,89
38275,439,7,122
44370,728,9,261
39396,570,11,168
9328,985,5,456
16534,896,11,376
20744,247,8,65
20389,256,4,45
37320,663,1,271
36010,349,1,99
15665,852,6,370
38865,488,8,134
9640,699,10,300
35716,506,2,169
26521,568,11,189
31049,598,4,224
6618,642,3,296
38004,434,9,108
2920,238,3,104
44937,740,11,234
5188,400,8,156
13207,106,7,9
1238,480,1,242
33972,834,8,317
11799,430,9,164
6552,710,8,324
29916,935,10,382
5927,544,10,224
28964,466,1,177
12164,319,11,88
38158,427,11,114
20071,656,7,272
49409,394,9,80
7160,252,5,109
16810,782,2,359
6126,918,8,428
31009,657,9,244
34584,766,7,314
47182,669,12,216
26396,980,5,420
1192,68,8,15
37413,911,6,352
13816,205,12,41
40082,224,4,14
33130,97,1,17
41142,500,6,141
37468,405,8,127
31698,213,3,33
11655,122,12,14
48897,636,7,214
31075,395,12,92
10359,306,7,107
37661,855,9,339
40579,501,1,163
43056,742,5,266
34272,269,8,43
43581,824,3,304
15671,220,5,54
28048,555,1,210
11738,480,9,176
26963,319,4,102
44954,497,5,149
7773,102,3,33
37584,828,2,338
30894,477,12,146
1717,710,7,332
12676,317,11,104
5434,383,5,177
38825,737,11,250
30100,59,10,52
5994,835,3,381
5234,644,2,297
4764,359,10,152
44949,535,6,160
38405,127,10,29
35872,335,6,65
43215,133,3,29
24185,186,9,18
44442,280,1,46
42153,637,3,227
12999,243,1,99
37487,281,7,45
3581,270,2,109
3763,545,11,238
28374,729,11,261
39759,145,12,38
11531,225,4,76
26307,159,4,5
31835,81,8,53
12064,302,11,90
12312,73,4,7
38548,365,3,86
37945,543,10,174
48937,155,12,61
7476,349,3,148
25565,163,5,37
3382,455,6,200
23463,301,7,92
46276,155,5,31
34402,508,7,154
27345,832,4,359
45764,752,5,271
27946,871,6,366
15162,740,9,301
47773,934,6,359
9397,420,10,159
23335,890,11,359
46095,911,1,353
15394,468,12,177
28197,654,11,240
23010,647,7,240
25123,688,11,261
23387,289,11,54
3890,36,3,19
28769,288,6,69
44626,880,2,336
9026,501,12,187
4306,238,7,103
34665,338,1,93
10277,257,2,87
43239,564,9,184
48664,304,9,29
49008,56,7,92
15683,122,2,25
1670,742,5,355
24675,449,4,174
18889,811,2,358
45535,673,2,247
14006,258,10,78
49536,760,8,276
27531,664,5,276
22639,144,8,12
17633,584,2,250
35660,619,2,225
4439,629,11,281
33172,901,11,371
36622,626,3,237
12577,945,11,433
12763,207,10,55
21176,907,8,376
45386,275,8,24
25255,604,3,228
42003,943,1,379
20996,893,7,373
36386,813,4,324
22062,549,3,235
36931,695,5,269
36710,411,12,84
35693,677,6,247
36740,487,1,181
12705,845,12,355
44408,272,12,27
29047,691,9,256
11966,880,6,401
18374,580,3,237
12138,195,1,73
16935,485,9,174
46913,858,2,344
1489,596,10,262
45516,308,6,49
23260,69,6,34
27069,23,12,76
20275,650,3,284
37284,871,11,329
40178,904,6,341
33821,519,2,192
17999,695,8,286
39712,242,1,45
41172,889,6,364
34722,687,1,270
11625,918,9,370
2629,281,9,122
11973,704,6,300
7859,554,6,267
42609,922,9,349
44307,395,5,108
46450,80,9,84
37046,375,5,104
22839,852,4,374
28216,665,2,281
19945,43,2,3
7539,312,1,141
34625,576,10,196
5886,710,3,338
46713,375,1,94
8485,889,6,418
32455,960,11,381
47448,594,7,183
17767,48,9,47
48165,376,7,47
29453,384,4,119
11744,627,4,267
38102,428,8,113
13226,285,4,99
28869,310,1,98
23588,586,9,220
14440,172,3,56
32709,238,1,36
48788,192,9,38
23495,627,11,231
38019,654,11,228
45948,31,10,105
49908,535,10,128
1922,381,5,147
28526,877,12,345
8957,598,9,242
49564,676,3,228
34998,988,6,393
44395,496,11,147
25031,596,12,221
11006,101,11,8
38701,636,12,217
48063,712,7,235
26939,359,5,110
21324,460,12,167
23867,636,8,264
1203,245,10,87
17544,390,6,153
16899,47,12,42
30063,35,6,67
26344,296,7,75
4748,352,8,147
40486,502,12,149
2093,829,2,389
16228,585,7,231
21884,307,9,89
26183,133,1,20
17034,57,12,36
6710,473,1,230
43500,901,7,345
20259,761,5,314
36959,185,1,5
34457,713,1,275
21143,975,2,452
3103,224,11,83
1365,897,10,406
47778,264,9,5
45535,890,12,322
17103,352,12,99
33510,962,3,400
25476,415,9,145
13742,840,6,397
13391,526,10,206
37940,948,6,402
29901,943,7,380
33001,140,10,31
16623,278,11,76
3378,741,8,352
22372,429,11,146
45799,329,3,94
39437,827,8,297
36503,725,6,270
31746,87,6,36
28923,133,11,43
10867,239,3,98
42258,239,6,19
34724,492,11,151
10306,749,8,309
40391,768,7,285
15908,962,10,417
28081,405,10,100
38228,317,7,50
24386,949,3,433
47754,625,10,190
46406,272,3,35
29302,424,5,137
20212,511,12,176
36618,376,5,109
47067,447,9,87
11698,234,9,62
5594,399,10,152
26525,789,5,313
15282,878,12,370
15334,771,5,342
30179,846,6,348
7644,233,8,79
36618,117,6,31
48701,547,11,162
33933,935,12,370
44469,685,6,246
34687,547,9,197
42073,729,1,276
18375,639,4,266
49483,554,10,157
31926,573,10,195
37607,568,12,167
18642,347,2,133
24993,921,9,385
45386,184,3,5
47287,135,10,63
22188,169,11,7
33596,537,2,199
28772,51,8,51
31857,676,4,271
11776,825,11,350
33835,932,2,387
10788,312,4,122
6660,938,7,425
5478,708,7,322
9210,976,1,463
11922,196,12,44
37289,80,12,83
34340,608,1,231
40850,435,3,123
39163,402,2,116
49175,617,3,200
19642,722,4,307
12094,26,7,12
23423,937,2,411
34418,104,7,31
6741,793,5,370
47049,976,8,376
7838,417,8,161
4262,931,5,450
5996,790,10,356
45594,412,8,97
23164,66,12,42
36595,360,9,87
31257,517,7,187
15211,625,6,270
31453,497,7,163
6232,445,7,198
3217,445,3,206
25229,755,6,304
15232,810,6,358
26613,534,11,193
15026,148,9,35
29554,854,1,357
31908,268,7,34
20610,760,1,322
47646,858,10,301
40605,150,4,21
8031,759,7,345
48574,708,6,241
26515,342,6,107
37484,842,5,339
37182,919,11,371
1570,562,7,250
33254,85,9,57
20288,737,6,314
14288,120,10,11
30877,851,7,320
19889,50,9,27
1917,904,7,421
11066,210,6,65
30504,597,3,212
7982,434,1,203
40104,834,10,296
19062,766,9,311
17999,809,7,336
10941,733,3,343
24470,519,10,184
46148,881,9,316
22133,756,3,313
45435,614,3,205
5529,65,7,19
18519,108,2,1
13192,717,10,289
9566,394,7,162
8226,720,7,314
38930,265,1,47
22259,577,10,223
35087,276,11,26
2141,371,2,176
5627,940,5,457
48269,592,4,178
3690,124,3,24
41091,356,10,89
4255,545,11,228
6213,320,8,121
37876,96,7,37
20404,530,9,187
26380,249,3,74
26520,698,10,265
20173,597,1,263
24989,51,9,41
43570,627,9,196
25519,77,12,41
23439,123,12,34
12413,331,1,137
15995,665,8,268
24559,748,10,287
46351,86,1,65
24513,997,6,434
6021,709,9,317
33464,393,3,129
22119,778,6,325
30299,825,3,351
40350,254,11,2
47223,662,5,231
26517,131,11,16
14117,408,7,149
23250,427,11,129
19950,73,10,22
18359,821,12,344
24596,258,4,71
26530,771,4,322
2262,314,7,130
41150,131,5,39
23615,107,1,5
4327,759,11,337
30768,495,10,164
29850,323,12,51
43788,324,2,64
17848,309,6,104
47830,227,12,30
40542,887,9,332
16160,922,7,405
34998,805,4,320
28230,601,12,198
10076,389,12,122
4805,239,2,94
32085,250,4,49
15715,821,5,351
6750,838,2,402
49395,892,1,353
14232,368,4,135
36903,274,11,16
7953,471,6,202
33093,161,1,5
26500,88,1,3
23418,108,9,19
35314,890,5,368
49225,155,2,18
23449,674,11,257
18478,870,2,375
36179,718,4,261
47881,542,11,128
26338,679,2,276
27899,970,4,420
5145,823,11,365
33101,869,6,364
3775,929,7,420
46961,461,6,136
32647,57,4,48
46619,876,10,315
46838,227,3,2
20539,229,4,57
37738,532,12,149
27616,379,5,143
15119,596,4,257
26159,20,3,45
38099,774,1,306
11295,400,3,170
35710,847,11,317
25685,556,5,224
26479,878,6,367
47172,413,12,59
34629,69,4,68
43043,415,1,105
18033,879,10,392
37902,772,7,292
45571,51,9,88
16408,564,6,230
18420,731,6,297
17351,253,9,65
5131,45,4,9
45825,573,5,168
12349,453,5,183
45254,80,12,94
39225,572,5,182
39847,460,8,130
13453,149,11,26
19814,886,1,398
19263,373,10,121
13158,217,11,48
16735,818,10,331
16830,682,11,272
48893,735,3,242
45673,713,8,238
24926,390,11,115
46066,943,9,365
35779,738,2,289
4373,166,12,47
11335,735,4,327
24741,517,8,186
11692,67,5,3
48295,789,1,294
46541,670,6,222
35057,191,9,1
2447,632,9,263
20583,718,11,293
23765,915,1,397
24906,334,4,93
20567,395,1,164
15139,825,7,361
47525,940,3,362
39230,894,2,361
20520,552,8,210
20702,829,9,340
26566,439,7,166
8657,924,6,428
38688,415,10,104
31134,541,11,182
11345,206,6,54
42185,664,9,210
28413,52,5,57
6208,88,5,8
34455,611,2,243
29018,210,6,28
46991,120,12,81
9080,504,12,223
22902,304,12,54
10486,933,6,440
39862,752,6,287
22158,409,4,141
41460,584,11,157
44856,997,7,397
36871,179,9,3
36208,911,1,368
21519,573,3,233
32379,66,10,59
29378,178,9,1
40892,465,5,114
15031,715,6,302
15536,777,8,330
1446,542,9,235
37683,685,8,239
49555,751,3,258
18618,174,10,26
7587,358,1,162
32480,972,11,388
33994,384,12,97
21527,814,5,360
24569,718,7,275
12151,593,2,259
6558,167,1,50
45739,918,4,350
33954,163,3,1
48448,122,4,46
48327,831,1,306
44837,112,2,27
36303,994,1,418
35700,305,3,63
28500,443,4,153
3032,138,1,56
2252,980,6,452
6509,48,2,7
38842,530,10,153
14900,49,12,52
15523,891,11,385
2881,385,5,183
34037,819,8,310
2630,157,12,36
21789,494,4,192
23523,582,5,227
18958,411,9,152
47151,454,2,129
49920,823,12,269
44852,253,12,1
2695,74,2,31
15821,950,6,433
4262,311,6,126
2445,771,3,363
17436,331,12,84
10949,567,9,240
24963,108,1,15
30932,231,12,16
7901,976,3,480
34487,337,8,74
9597,896,8,415
7855,776,4,356
19678,484,8,176
9263,106,11,17
48288,428,10,73
26805,259,8,58
27143,851,1,386
12874,719,3,312
28529,76,1,28
21866,132,2,19
15079,754,4,334
8243,89,3,20
30872,758,11,300
10018,787,6,369
13100,711,12,284
20800,203,12,20
27910,722,5,281
30437,983,5,404
38588,763,10,307
12001,295,7,107
47675,252,7,21
20942,73,9,31
21862,276,8,89
12669,109,3,14
16916,757,2,332
11878,778,1,340
3985,925,10,426
33369,682,6,249
9112,454,4,187
42235,644,3,211
19931,427,11,152
28340,288,11,45
1336,688,2,331
43933,973,2,409
20363,385,11,114
46536,878,4,327
4968,370,1,189
34678,318,6,72
49400,925,10,333
17279,178,11,21
4129,506,5,223
39215,861,10,328
39897,756,9,282
6850,545,2,248
21588,374,9,101
41214,640,9,196
12949,949,10,395
9519,420,9,168
27375,424,10,129
34082,115,10,19
12737,726,4,332
2134,589,5,291
11938,994,8,453
25486,411,8,117
49356,371,1,73
27096,825,10,332
42115,685,1,261
6592,595,10,262
19108,689,6,280
18270,796,7,344
28649,652,2,260
11997,307,2,117
34489,542,5,180
10104,745,9,353
1870,181,5,66
29684,636,8,234
40519,933,8,379
35524,678,5,239
31957,201,8,11
34885,869,8,356
45369,568,5,184
36596,101,5,36
30866,543,4,172
31676,23,1,46
48764,514,9,139
14878,574,2,249
40760,942,1,365
28559,70,6,38
47546,280,5,34
7771,153,11,26
17526,992,1,461
30896,618,7,230
32923,381,7,94
37203,587,3,215
40390,236,8,17
13852,897,6,393
48574,87,4,51
44391,883,10,326
2848,575,10,268
32027,162,10,8
36464,365,12,77
35485,573,3,210
20456,670,1,295
10259,604,2,273
36554,798,2,331
47922,213,11,26
14409,686,5,304
4791,265,4,103
26864,333,2,107
37639,749,11,272
35574,987,9,408
18888,403,7,140
20692,784,8,329
24501,808,8,316
14304,296,2,98
28527,91,5,22
19074,148,3,50
16549,377,10,117
30963,717,9,275
26920,544,9,195
31826,860,6,336
37071,239,4,30
17061,25,8,54
29810,770,5,300
48966,643,3,216
23800,247,11,36
44423,973,8,373
42692,36,12,109
10940,604,6,261
4924,31,5,23
29054,617,1,260
10783,518,3,233
38253,711,7,259
46397,653,3,223
14233,735,1,349
46669,521,8,151
25484,89,7,28
26068,127,5,2
1191,220,12,89
26074,71,10,43
5917,568,5,269
39599,648,6,221
26832,278,7,61
43928,501,3,145
21706,283,11,63
14682,925,12,408
27762,322,12,101
24383,956,4,406
28796,595,1,241
24666,573,7,238
26662,574,10,188
46159,144,2,32
35642,924,7,354
42830,289,6,37
38531,878,4,343
11234,764,11,332
10221,499,2,216
12410,151,7,10
15519,21,7,50
2051,134,5,51
45993,500,9,144
10765,20,3,32
12382,350,9,123
13580,596,5,255
33323,961,2,428
45757,974,9,389
12939,990,1,465
30964,656,1,272
1307,787,7,368
4359,410,3,178
30648,853,8,347
36944,162,7,16
35019,347,11,72
39134,777,7,260
28323,647,1,269
7226,396,1,188
22689,834,12,340
31971,109,2,27
26954,827,2,359
25423,61,11,61
31391,966,5,405
15330,54,9,31
5891,513,7,208
5992,572,2,286
2961,872,5,414
13497,143,5,23
33551,76,8,57
11848,825,9,376
14255,475,8,196
5567,254,2,107
49847,627,4,225
40281,411,2,124
49003,511,6,152
21389,989,4,438
45523,850,7,315
44919,362,2,81
17567,663,9,278
4358,195,5,71
23999,71,1,16
43358,569,12,170
11988,497,11,181
41446,508,3,155
32521,874,4,366
6698,24,3,3
2273,744,6,340
28543,651,6,267
32349,857,10,347
12241,900,11,388
10497,228,7,54
42875,236,9,11
33703,555,10,185
45041,361,9,66
32954,736,7,286
9002,420,11,163
5247,481,1,233
42988,757,3,282
22698,749,5,307
20738,230,10,42
11703,45,12,35
49240,271,11,10
18570,22,6,32
13392,21,6,21
45724,623,5,220
33299,21,6,80
16641,169,9,30
14998,602,1,264
7305,23,1,1
33726,516,9,164
19782,569,8,224
13721,890,9,375
40763,487,7,146
13427,89,10,21
47550,220,6,11
21566,327,9,80
3230,271,2,115
7511,306,4,132
43229,941,2,384
27177,311,6,71
5765,173,1,63
21354,943,7,410
24929,152,7,14
29820,902,7,360
47040,605,4,201
30523,293,8,58
6552,802,5,379
1627,716,2,351
12989,528,5,204
14780,372,12,121
7589,24,10,48
35812,312,9,73
29128,379,10,119
46939,617,1,206
39652,233,11,12
28790,425,2,149
41953,455,10,135
1249,34,8,11
20309,292,5,90
26901,582,12,206
24576,784,9,319
32508,64,6,68
10175,722,8,312
26464,653,12,216
17260,431,1,177
36440,206,9,12
30546,745,9,275
41047,680,3,254
42430,189,1,8
2987,740,8,344
26105,984,8,405
13948,613,12,240
14026,420,9,164
3773,727,6,351
46927,265,9,24
10878,922,12,412
43946,876,10,330
11377,888,9,406
8347,571,12,222
34776,699,4,283
4783,62,11,16
5298,860,5,382
5668,742,6,341
21671,198,6,37
35820,476,10,134
35484,554,2,215
34078,626,4,229
48159,691,12,210
21922,263,9,61
35028,946,7,399
46925,36,9,122
21316,131,6,2
12460,634,11,271
17968,845,7,376
31266,617,9,227
31209,566,12,169
25000,49,4,36
15011,211,9,50
3866,456,3,217
48133,198,12,44
6898,635,11,260
19395,696,12,288
40019,493,8,143
38707,653,3,242
5006,153,3,67
35393,821,3,337
11956,331,9,118
31663,755,10,294
7078,44,3,4
30631,390,6,113
31140,544,11,172
42691,338,4,76
4961,249,2,130
30277,121,12,29
42574,469,12,124
32417,397,3,126
23484,907,5,386
19103,920,10,373
30345,222,4,47
47326,286,5,32
40454,481,12,122
2587,384,11,139
43571,753,1,284
22031,123,4,9
27212,130,11,22
11350,447,10,167
19816,488,3,188
21288,600,2,234
30432,889,7,347
45222,789,10,282
49617,699,9,238
7837,824,1,406
35217,905,12,344
21884,580,7,214
6454,269,11,91
10424,501,12,203
37885,350,1,111
42637,951,5,359
44618,606,1,216
19412,220,3,78
48111,473,8,117
40613,523,4,168
21142,565,12,195
38392,845,1,355
9848,130,1,31
14136,952,8,411
1589,883,8,413
21908,847,4,362
7509,927,4,428
41461,768,10,277
43222,563,11,176
45476,228,2,23
46710,663,2,250
10968,637,12,256
3462,52,6,15
10460,574,8,251
34783,899,7,364
10275,126,7,24
29677,284,3,53
14269,245,12,63
1406,506,2,233
8384,198,10,52
23553,241,7,84
25366,389,4,137
45036,656,1,226
18369,807,1,369
12795,186,4,50
5485,682,5,298
42669,572,5,180
3618,319,1,156
31143,400,3,122
30425,54,6,57
23673,426,10,126
10603,521,7,219
40696,333,11,60
6368,835,1,396
5621,762,8,340
15719,746,4,335
30227,845,9,350
44894,120,11,58
8566,588,11,256
13306,234,6,75
25042,954,1,416
16086,687,2,325
18387,595,3,249
28042,81,2,26
24888,870,10,364
27514,388,7,114
19323,387,12,107
19019,593,1,251
10890,113,9,13
41863,488,2,153
46487,872,4,321
11283,45,8,44
19279,454,11,150
47999,140,3,53
23908,69,9,45
48466,902,7,319
38952,783,10,295
36170,55,12,81
38663,429,12,76
45172,308,3,73
48929,398,3,100
10343,119,5,2
11637,343,5,134
35724,348,10,74
40791,667,5,228
30134,725,12,254
47830,240,9,1
48101,810,9,298
4907,857,6,410
34575,586,11,196
47799,958,11,362
5827,129,7,40
31607,168,10,9
14699,425,8,168
38292,796,9,277
48961,693,6,235
26883,718,8,297
49991,429,2,97
6313,148,10,1
14598,503,8,202
46826,127,11,66
29807,408,2,125
5887,444,8,190
4854,466,2,199
46226,937,3,383
15536,87,7,7
4558,963,11,448
10772,85,9,5
37343,675,3,262
36186,995,5,405
37966,584,9,180
34769,659,7,232
40887,523,2,188
20229,523,5,201
10673,340,5,135
28877,738,9,290
32601,851,2,356
39084,747,1,276
17244,599,4,256
28356,466,4,157
17806,593,1,248
24099,229,10,27
45641,868,7,326
38034,858,2,351
41317,389,11,76
20094,960,9,418
11589,583,7,256
2657,647,12,281
33764,912,12,361
40531,477,7,141
4164,914,1,448
28542,596,9,219
19437,661,10,264
42247,708,9,247
39505,809,2,299
20601,944,10,383
29430,182,9,9
7009,996,2,483
5552,351,2,161
10417,683,8,294
42989,369,3,91
3671,767,3,367
7519,689,7,301
37730,487,10,147
13734,445,6,183
46890,346,7,73
4722,125,6,39
5906,837,9,379
31096,274,2,68
41031,377,8,70
14699,986,11,439
22438,463,6,185
44856,132,4,37
34576,49,6,61
42938,543,6,159
33247,708,12,251
44461,869,10,303
28938,65,3,33
41469,190,8,7
18600,149,5,15
21435,776,11,307
19581,372,10,124
15191,222,11,42
20190,245,4,66
28386,99,2,13
32721,329,10,58
14704,54,1,20
3123,583,7,270
26174,180,10,3
45301,615,11,183
48216,859,3,329
15586,454,3,188
32976,557,3,221
26416,244,10,28
2814,465,12,183
14001,336,3,150
17508,685,2,303
20630,824,6,349
14380,433,10,149
49174,114,3,48
36699,244,1,48
47335,798,10,271
47806,968,9,368
13317,572,6,225
36739,664,6,239
35785,85,10,61
32980,416,9,102
24799,978,2,434
36183,229,10,1
30166,493,9,175
20480,684,12,254
2609,703,3,327
1717,929,3,473
20945,856,3,380
26592,590,1,235
29141,715,10,261
31009,509,7,158
46430,199,10,8
7782,853,7,389
27536,855,2,376
34816,543,6,191
26933,478,4,165
12618,87,11,7
9307,958,7,439
27671,348,7,102
41673,221,4,5
43761,494,3,169
11338,537,7,212
39346,34,9,104
47602,61,4,83
7548,562,6,246
41149,712,7,273
22164,793,10,316
28526,308,3,78
32222,944,5,392
21176,552,12,204
3941,911,1,430
6695,713,6,334
40169,715,5,251
48947,263,7,7
48224,881,9,319
46865,680,11,189
26553,787,4,324
39965,631,9,203
39218,586,6,191
26359,717,5,288
25816,851,2,369
9378,617,1,279
2881,193,8,66
40567,553,12,178
48365,528,12,140
14675,263,6,73
5586,79,7,2
26006,123,6,2
42198,670,10,226
23831,322,7,98
36113,690,9,231
17459,763,5,347
33443,96,1,16
43316,37,1,72
31595,553,9,201
6877,203,5,72
40553,676,11,234
49601,569,2,188
5922,300,3,134
5686,307,1,141
33766,674,6,257
15407,544,12,204
33006,717,6,262
32422,493,3,164
13205,965,3,432
22054,286,7,79
24527,800,1,349
46947,628,5,203
19443,965,3,450
17524,376,5,128
29202,825,11,325
1016,20,4,4
47142,826,6,296
17848,46,12,41
21855,567,9,220
19211,179,2,41
26095,956,10,391
39724,418,8,83
38583,562,2,195
3843,146,4,48
30301,793,9,286
27460,876,4,368
32918,967,7,392
29747,229,11,51
16972,169,5,39
29310,50,2,42
23927,631,8,251
2094,860,11,391
39892,321,10,44
35172,982,10,381
24324,884,2,388
21674,750,3,338
4982,784,10,351
46283,702,7,242
16790,276,5,97
13205,959,10,426
25338,76,11,42
13748,28,3,20
22097,24,12,64
4092,866,2,404
23692,133,11,17
24862,796,6,328
25860,704,10,266
14971,751,1,356
15616,224,8,47
5933,43,5,38
5926,512,5,239
26763,989,2,442
4969,701,7,325
36733,425,5,121
5319,122,8,28
42743,79,5,56
40876,105,9,62
42909,786,5,288
21323,696,3,284
17428,391,2,153
35578,698,5,263
21950,615,10,238
44041,989,10,374
42789,221,5,20
19293,621,6,243
7364,108,2,27
36349,456,5,138
1691,139,1,67
31062,175,3,0
1931,992,3,489
46896,418,3,115
32730,719,3,288
15226,207,8,41
14861,793,1,349
32301,71,6,58
49243,671,6,232
23766,550,1,225
37174,499,1,177
42107,606,3,206
18695,249,8,66
42347,500,6,140
4121,149,4,59
19257,74,5,8
29164,290,10,44
26491,979,3,428
24165,119,11,31
49714,88,11,77
4748,930,6,447
34045,318,6,86
27553,989,6,429
45331,548,9,163
31497,373,10,101
32308,647,11,226
40560,171,8,10
47686,349,6,69
11374,135,2,37
5675,561,4,238
2170,342,6,144
42449,582,9,175
44485,591,11,176
13450,248,2,111
11680,790,6,356
11068,379,10,148
36230,24,11,104
47418,47,10,117
27206,785,10,317
1287,383,7,168
23337,481,8,183
21666,250,9,46
2161,414,5,175
36131,987,9,389
25535,888,9,363
33528,731,11,266
39751,863,7,326
17527,290,2,107
41975,870,8,331
24853,323,12,63
15758,402,5,147
1244,577,11,259
4178,47,8,27
32831,538,2,204
3176,763,7,335
38770,218,5,29
34654,625,4,233
27627,101,10,39
47489,107,6,63
45910,409,5,96
25881,717,6,276
36422,774,9,283
12984,599,1,265
24776,842,11,345
18755,470,1,186
8135,452,6,196
1320,393,2,176
38422,454,8,112
29635,206,7,22
22684,770,6,316
24238,409,4,141
22889,237,9,46
31313,127,7,18
33535,838,7,342
49899,569,5,176
11770,926,1,435
40321,967,2,383
21426,368,8,114
45327,807,11,268
42777,541,5,187
47250,45,2,92
8498,67,12,26
40404,878,5,333
41130,389,8,108
17395,33,4,26
3537,631,3,310
20226,206,5,40
16216,543,7,213
19613,903,2,397
4009,910,1,448
25368,298,11,57
30327,360,5,104
15209,347,7,110
49443,698,8,219
16029,653,11,269
3077,924,8,429
14907,626,10,267
37635,44,9,92
49920,548,11,135
5873,445,11,171
9635,48,12,40
34065,975,1,414
46863,342,7,71
42804,872,10,311
34783,332,8,80
35152,603,6,221
42513,289,10,22
30092,781,12,300
18653,314,4,106
33463,675,7,242
35028,805,3,316
41469,242,2,21
21947,94,6,9
30978,121,2,4
23056,551,6,208
30007,648,10,247
44169,705,3,263
49287,904,2,356
45632,192,8,2
49449,23,4,94
6543,871,12,386
22067,498,4,191
46256,679,7,231
26097,414,8,139
43847,645,12,200
44512,852,9,315
4809,933,10,450
23191,186,8,31
22267,319,4,100
8206,137,2,46
22057,531,10,189
29992,631,5,234
47514,805,7,284
16995,194,2,56
49803,178,4,19
45439,403,6,99
14210,246,8,70
18793,954,10,420
27270,57,6,51
6197,482,6,220
49321,450,6,94
8452,729,4,336
42486,667,3,228
15859,123,1,38
28236,212,2,27
32899,269,2,74
33083,32,10,80
3172,586,7,279
46926,875,11,310
17663,616,6,256
28540,640,8,262
20053,574,9,218
12085,407,5,159
31564,90,11,43
25209,975,3,431
4981,799,4,380
22153,590,11,201
6247,992,8,458
11553,457,3,202
21811,63,2,7
30845,291,7,80
7135,921,4,435
6573,33,8,22
14731,390,1,175
8189,131,8,39
15541,398,5,148
44646,333,12,31
12087,434,2,190
47435,759,1,277
3776,504,6,227
43079,188,9,45
28564,907,9,370
29835,822,9,311
8697,265,11,76
15629,285,4,105
9386,868,6,391
18046,262,12,59
9044,689,10,307
10615,319,6,119
48802,970,5,377
6060,346,2,155
11900,549,7,230
6581,614,1,293
35782,866,6,353
21173,762,5,311
13997,361,5,138
44403,784,8,277
47416,698,9,229
8148,573,7,253
19748,268,10,63
15022,779,8,321
21013,969,2,452
39687,399,2,125
16886,817,12,342
26256,551,8,207
31005,913,6,356
7638,883,8,406
38419,400,9,91
34377,61,9,62
41708,364,11,91
44116,618,6,207
37634,280,8,52
17755,325,2,118
24382,828,8,344
23394,881,3,392
3253,259,1,121
38710,698,7,255
46098,332,1,61
1864,750,11,333
35036,460,1,140
41222,952,1,383
14666,922,4,415
21955,152,12,10
46138,738,12,233
38997,70,4,37
17309,637,10,249
5054,411,11,178
1935,715,6,355
45940,732,12,249
23778,542,10,191
44298,785,12,281
49328,527,3,151
49924,681,10,194
17709,373,6,136
10726,886,7,399
41542,992,11,387
21245,414,1,174
35753,975,6,400
15252,115,10,5
22316,125,1,19
38371,674,7,247
20162,697,10,292
16960,532,5,218
31791,577,10,214
43230,261,4,27
26216,875,1,399
33467,958,9,391
47934,507,7,125
8754,809,2,374
48014,534,4,159
5078,673,4,292
13853,917,8,406
5042,80,2,13
15389,435,11,160
31425,313,5,108
3575,756,10,339
40522,321,8,51
29179,189,6,14
35754,665,4,263
19624,60,5,54
21350,250,2,87
27681,428,5,143
24988,757,3,317
16470,670,12,258
25704,641,3,267
39736,316,7,52
30377,474,3,151
29572,76,4,29
8493,961,7,448
5103,654,3,318
35844,259,10,25
3994,617,10,279
4744,195,2,75
48234,82,10,81
48291,570,7,170
28332,157,5,17
6594,473,1,199
41299,772,12,266
8371,468,10,199
48315,245,8,1
19028,462,3,201
